"nmi","kwh","half_hour_interval","reading_date_time","reading_date","baseload","hvac_action","temperature","humidity"
"1234567890",4.905334498286713,23,"2019-04-05 11:30:00","2019-04-05",1414.8797871076042,"HEATING",21.2,69
"1234567890",21.875,24,"2019-04-05 12:00:00","2019-04-05",1414.8797871076042,"HEATING",18.5,85
"1234567890",16.14884745845019,25,"2019-04-05 12:30:00","2019-04-05",1414.8797871076042,"HEATING",19.3,90
"1234567890",6.9174193866843705,26,"2019-04-05 13:00:00","2019-04-05",1414.8797871076042,"HEATING",20.8,85
"1234567890",7.234798005509462,27,"2019-04-05 13:30:00","2019-04-05",1414.8797871076042,"HEATING",20.7,77
"1234567890",8.248076809271925,28,"2019-04-05 14:00:00","2019-04-05",1414.8797871076042,"HEATING",20.4,77
"1234567890",9.375,29,"2019-04-05 14:30:00","2019-04-05",1414.8797871076042,"HEATING",18,93
"1234567890",5.943545011789546,30,"2019-04-05 15:00:00","2019-04-05",1414.8797871076042,"HEATING",18.8,93
"1234567890",3.614764546396777,31,"2019-04-05 15:30:00","2019-04-05",1414.8797871076042,"HEATING",19.5,89
"1234567890",0,32,"2019-04-05 16:00:00","2019-04-05",1414.8797871076042,"IDLE",19.8,87
"1234567890",0,33,"2019-04-05 16:30:00","2019-04-05",1414.8797871076042,"IDLE",20.2,79
"1234567890",0,34,"2019-04-05 17:00:00","2019-04-05",1414.8797871076042,"IDLE",20.3,80
"1234567890",0,35,"2019-04-05 17:30:00","2019-04-05",1414.8797871076042,"IDLE",20.3,79
"1234567890",0,36,"2019-04-05 18:00:00","2019-04-05",1414.8797871076042,"IDLE",20.4,79
"1234567890",0,37,"2019-04-05 18:30:00","2019-04-05",1414.8797871076042,"IDLE",19.6,83
"1234567890",0,38,"2019-04-05 19:00:00","2019-04-05",1414.8797871076042,"IDLE",18.7,89
"1234567890",0,39,"2019-04-05 19:30:00","2019-04-05",1414.8797871076042,"IDLE",18.5,89
"1234567890",0,40,"2019-04-05 20:00:00","2019-04-05",1414.8797871076042,"IDLE",18.2,90
"1234567890",0,41,"2019-04-05 20:30:00","2019-04-05",1414.8797871076042,"IDLE",17.9,92
"1234567890",0,42,"2019-04-05 21:00:00","2019-04-05",1414.8797871076042,"IDLE",17.8,92
"1234567890",0,43,"2019-04-05 21:30:00","2019-04-05",1414.8797871076042,"IDLE",17.7,92
"1234567890",0,44,"2019-04-05 22:00:00","2019-04-05",1414.8797871076042,"IDLE",17.4,93
"1234567890",0,45,"2019-04-05 22:30:00","2019-04-05",1414.8797871076042,"IDLE",17.2,95
"1234567890",0,46,"2019-04-05 23:00:00","2019-04-05",1414.8797871076042,"IDLE",17.4,93
"1234567890",0,47,"2019-04-05 23:30:00","2019-04-05",1414.8797871076042,"IDLE",17.3,94
"1234567890",0,48,"2019-04-06 00:00:00","2019-04-05",1414.8797871076042,"IDLE",17.2,94
"1234567890",0,1,"2019-04-08 00:30:00","2019-04-08",2273.1836312512646,"IDLE",19.7,60
"1234567890",0,2,"2019-04-08 01:00:00","2019-04-08",2273.1836312512646,"IDLE",20.1,59
"1234567890",0,3,"2019-04-08 01:30:00","2019-04-08",2273.1836312512646,"IDLE",19.1,59
"1234567890",0,4,"2019-04-08 02:00:00","2019-04-08",2273.1836312512646,"IDLE",20.5,54
"1234567890",0,5,"2019-04-08 02:30:00","2019-04-08",2273.1836312512646,"IDLE",20,55
"1234567890",0,6,"2019-04-08 03:00:00","2019-04-08",2273.1836312512646,"IDLE",19,59
"1234567890",0,7,"2019-04-08 03:30:00","2019-04-08",2273.1836312512646,"IDLE",18.2,64
"1234567890",0,8,"2019-04-08 04:00:00","2019-04-08",2273.1836312512646,"IDLE",16.9,71
"1234567890",0,9,"2019-04-08 04:30:00","2019-04-08",2273.1836312512646,"IDLE",17.3,70
"1234567890",0,10,"2019-04-08 05:00:00","2019-04-08",2273.1836312512646,"IDLE",17.4,69
"1234567890",0,11,"2019-04-08 05:30:00","2019-04-08",2273.1836312512646,"IDLE",17.1,71
"1234567890",0,12,"2019-04-08 06:00:00","2019-04-08",2273.1836312512646,"IDLE",17.9,65
"1234567890",0,13,"2019-04-08 06:30:00","2019-04-08",2273.1836312512646,"IDLE",16.9,69
"1234567890",0,14,"2019-04-08 07:00:00","2019-04-08",2273.1836312512646,"IDLE",17.5,65
"1234567890",0,15,"2019-04-08 07:30:00","2019-04-08",2273.1836312512646,"IDLE",18.6,61
"1234567890",0,16,"2019-04-08 08:00:00","2019-04-08",2273.1836312512646,"IDLE",19.3,62
"1234567890",3.5765421823027332,17,"2019-04-08 08:30:00","2019-04-08",2273.1836312512646,"HEATING",20.6,58
"1234567890",1.484297951775481,18,"2019-04-08 09:00:00","2019-04-08",2273.1836312512646,"HEATING",21.8,55
